,ID,pH,Flocculator Head Loss (cm),Air Temperature (K),Water Temperature (K),Activated Carbon Temperature (K),Activated Carbon Depth (cm),Effluent Turbidity (NTU),Influent Turbidity (NTU),pC*,PACl Dose (mg/L),Capture Velocity (mm/s),Residence Time (s),Total Flow Rate (mL/s),Total Head Loss (cm),Energy Dissipation Rate (mW/kg),Kinematic Viscosity (mm^2/s),Gamma,phi,Viscous Parameter,Inertial Parameter
0,20,7.212999999999999,86.52,295.9,295.5,295.0,30.71,13.11,900.1,1.837,6.0889999999999995,0.12,405.6,110.7,126,20.92,0.9488,0.2649,0.0005933,112.6,159.1
1,21,7.435,86.08,295.5,295.3,295.1,30.98,16.41,900.1,1.739,2.972,0.12,405.6,110.5,126,20.81,0.9542,0.1394,0.0005852,58.43,82.61
2,22,7.462999999999999,85.84,295.7,295.3,294.9,30.99,39.87,900.2,1.354,1.7280000000000002,0.12,405.6,110.5,126,20.75,0.9539,0.08361,0.000582,34.87,49.25
3,23,7.456,93.63,295.3,295.3,295.0,31.07,73.31,900.3,1.089,0.951,0.12,405.6,110.5,126,22.64,0.9545,0.04691,0.00058,20.38,28.36
4,24,7.36,86.49,295.0,295.1,292.9,27.92,93.62,900.0,0.9828,0.5328,0.12,405.6,110.5,126,20.91,0.9590000000000001,0.02657,0.0005787000000000001,11.05,15.61
5,25,7.521,86.03,295.0,295.1,295.0,31.09,144.4,900.5,0.795,0.2839,0.12,405.6,110.5,126,20.8,0.9579,0.014240000000000001,0.0005784,5.909,8.347999999999999
6,26,7.3839999999999995,92.41,294.5,294.8,293.5,28.87,423.0,900.0,0.32799999999999996,0.1002,0.12,405.6,110.6,126,22.34,0.9644,0.00505,0.0005775999999999999,2.162,3.028
7,27,7.495,88.12,294.6,294.9,295.1,31.16,456.6,899.6,0.2945,0.05117,0.12,405.6,110.5,126,21.31,0.9625,0.002584,0.0005772,1.081,1.524
8,12,7.209,88.41,297.3,296.0,295.3,30.64,7.921,900.7,2.056,5.692,0.12,405.6,110.7,126,21.38,0.9378,0.2498,0.0005926,107.9,151.0
9,13,7.272,93.9,296.0,295.9,297.0,30.96,23.45,900.1,1.584,2.944,0.12,405.6,110.6,126,22.7,0.9397,0.1383,0.0005851,60.97,84.3
10,14,7.419,86.75,296.0,295.5,296.8,30.83,59.94,900.4,1.177,1.208,0.12,405.6,110.7,126,20.97,0.9495,0.05919,0.0005808,24.84,34.92
11,15,7.485,90.35,296.0,295.6,297.8,30.9,117.2,900.2,0.8855,0.4963,0.12,405.6,110.6,126,21.85,0.9469,0.02477,0.0005788,10.6,14.77
12,16,7.416,93.99,296.5,296.1,295.4,30.58,194.0,899.9,0.6663,0.2475,0.12,405.6,110.5,126,22.73,0.9366,0.01243,0.0005779,5.449,7.5
13,35,7.377999999999999,100.1,295.8,295.4,295.1,29.18,2.6830000000000003,900.0,2.526,10.93,0.12,431.6,103.8,135,22.75,0.9506,0.4246,0.0006058,202.9,284.3
14,36,7.082999999999999,98.52,294.8,295.1,294.8,28.7,3.986,899.8,2.354,20.03,0.12,431.6,103.8,135,22.38,0.9576,0.6367,0.0006294,308.6,438.7
15,37,7.355,97.03,294.7,295.1,294.8,28.26,5.284,900.1,2.231,35.94,0.12,431.6,103.8,135,22.05,0.9581,0.8373,0.0006709,420.2,607.7
16,38,7.353,99.28,293.7,294.4,294.8,28.26,8.56,898.4,2.021,64.43,0.12,431.6,103.9,135,22.56,0.9732,0.9617,0.0007440000000000001,518.9,770.9
17,39,7.6739999999999995,99.76,293.8,294.5,295.1,28.7,11.05,898.6,1.91,97.9,0.12,431.6,104.1,135,22.67,0.9722,0.993,0.0008312000000000001,578.5,879.8
